"","title","timestamp","duration","venue","lat","lng","id","address"
"109","Exploring College Options - Kansas City, MO","2019-05-22T19:00:00",7200,"Sheraton Kansas City Hotel at Crown Center",39.085,-94.58,"4ad32ad6-a64c-426e-8502-2e56afd280c9",NA
"110","Exploring College Options - St. Louis, MO","2019-05-23T19:00:00",7200,"Hilton St. Louis Frontenac",38.634,-90.406,"a728f5b5-4d5f-4bf1-a47d-c6dd6fc20ea3",NA
"111","Exploring College Options - Woodbridge, NJ","2019-05-14T19:00:00",7200,"Renaissance Woodbridge Hotel",40.557,-74.311,"208835d4-2b95-48bd-aa45-c1503dc27bed",NA
"112","Exploring College Options - Morristown, NJ","2019-05-15T19:00:00",7200,"The Westin Governor Morris, Morristown",40.798,-74.459,"f4256193-cea1-413a-a6ea-7deea3e77d8a",NA
"113","Exploring College Options - Mount Laurel, NJ","2019-05-15T19:00:00",7200,"The Westin Mount Laurel",39.933,-74.96,"e54da715-e029-48ab-a4d8-ab7012a59c85",NA
"114","Exploring College Options - Princeton, NJ","2019-05-16T19:00:00",7200,"Hyatt Regency Princeton",40.324,-74.644,"294a44b7-27c5-49c4-86aa-aead25343563",NA
"115","Exploring College Options - Brooklyn, NY","2019-05-12T19:00:00",7200,"New York Marriott at the Brooklyn Bridge",40.694,-73.988,"d3f834a1-96af-4660-bb51-dc56c0d74c6b",NA
"116","Exploring College Options - Long Island, NY","2019-05-13T19:00:00",7200,"Melville Marriott Long Island",40.783,-73.422,"6c39c0ab-f9ec-4f6c-a731-033104fcd950",NA
"117","Exploring College Options - New York, NY","2019-05-16T19:00:00",7200,"Hunter College High School",40.786,-73.954,"bf929b2c-da25-48c1-a691-5f6edf0b862d",NA
"118","Exploring College Options - Westchester, NY","2019-05-23T19:00:00",7200,"Crowne Plaza Hotel",41.03,-73.76,"4970fd30-561c-4e65-baf1-df4d4de1fd7e",NA
"119","Exploring College Options - Triangle, NC","2019-05-19T19:00:00",7200,"Embassy Suites by Hilton Raleigh",35.833,-78.772,"435a1326-ee31-4d72-b61f-9097f24b1818",NA
"120","Exploring College Options - Greensboro, NC","2019-05-20T19:00:00",7200,"Greensboro Marriott Downtown",36.076,-79.791,"e922025b-16f2-4c0c-8488-b64d037bf21b",NA
"121","Exploring College Options - Charlotte, NC","2019-05-21T19:00:00",7200,"Crowne Plaza Charlotte Executive Park",35.159,-80.89,"f9c280e5-6c6c-429f-a06a-5744b5b94f23",NA
"122","Exploring College Options - Columbus, OH","2019-05-20T19:00:00",7200,"The Westin Great Southern Columbus",39.956,-82.999,"30cf54b3-7407-445e-9881-4204976fcab3",NA
"123","Exploring College Options - Cleveland, OH","2019-05-21T19:00:00",7200,"Cleveland Airport Marriott",41.438,-81.8,"c7941b6e-3c6d-46f8-b8c5-604d330e3cc4",NA
"124","Exploring College Options - Portland, OR","2019-05-14T19:00:00",7200,"Crowne Plaza Portland-Downtown Conv Ctr",45.534,-122.664,"e17f3ee8-06dc-4fcf-98b4-fb8f0a22fe0d",NA
"125","Exploring College Options - Philadelphia, PA","2019-05-12T19:00:00",7200,"Philadelphia Marriott Downtown",39.953,-75.161,"b6cca845-0e3d-4d45-aceb-6793f1e1e731",NA
"126","Exploring College Options - King of Prussia, PA","2019-05-13T19:00:00",7200,"Philadelphia Marriott West",40.069,-75.31,"e66b37bd-eb41-425e-be6e-602d1bc5d202",NA
"127","Exploring College Options - Pittsburgh, PA","2019-05-16T19:00:00",7200,"Sheraton Pittsburgh Airport Hotel",40.502,-80.21,"b66eae89-19d4-4786-b105-4399beda5145",NA
"128","Exploring College Options - Providence, RI","2019-05-21T19:00:00",7200,"Providence Marriott Downtown",41.836,-71.414,"51a52ade-3aa4-42c2-a337-db64fa52858e",NA
"129","Exploring College Options - Dallas, TX","2019-05-19T19:00:00",7200,"Dallas/Addison Marriott Quorum by the Galleria",32.952,-96.825,"bd092745-d17a-4dde-9ed9-8f621f7bc1c7",NA
"130","Exploring College Options - Houston, TX (Hobby)","2019-05-19T19:00:00",7200,"Houston Marriott South at Hobby Airport",29.657,-95.257,"0fcbf3fc-e6bc-4152-ae00-070957670279",NA
"131","Exploring College Options - Dallas, TX","2019-05-20T19:00:00",7200,"Dallas/Addison Marriott Quorum by the Galleria",32.952,-96.825,"29c9d8a0-3f58-4a2c-bee7-41820d89c144",NA
"132","Exploring College Options - Houston, TX (Memorial City)","2019-05-20T19:00:00",7200,"The Westin Houston, Memorial City",29.782,-95.545,"3df74c0f-01a3-40e3-aa83-5b8cb3bd10b0",NA
"133","Exploring College Options - Ft. Worth, TX","2019-05-21T19:00:00",7200,"The Worthington Renaissance Fort Worth Hotel",32.756,-97.334,"0d8f5dca-2215-4e75-b559-15cecae7c98d",NA
"134","Exploring College Options - Houston, TX (Galleria)","2019-05-21T19:00:00",7200,"The Westin Oaks Houston at the Galleria",29.74,-95.462,"1a5f32ba-e867-4d2e-b40c-d1d1b049cc56",NA
"135","Exploring College Options - Austin, TX","2019-05-22T19:00:00",7200,"Hilton Austin",30.265,-97.738,"28dd69c1-9188-48bf-89cd-bc67c55ba3d2",NA
"136","Exploring College Options - San Antonio, TX","2019-05-23T19:00:00",7200,"San Antonio Marriott Rivercenter",29.423,-98.484,"576b5427-1085-4427-b12d-991c961378a0",NA
"137","Exploring College Options - Salt Lake City, UT","2019-05-21T19:00:00",7200,"Salt Lake City Marriott City Center",40.764,-111.889,"a3466e0a-5de4-4ee2-90d1-239edabbdbf6",NA
"138","Exploring College Options - Tysons, VA","2019-05-13T19:00:00",7200,"Tysons Corner Marriott",38.914,-77.221,"d9cc69a7-a98a-4dd5-81d1-44fd7f3831bc",NA
"139","Exploring College Options - Seattle, WA (SeaTac)","2019-05-12T19:00:00",7200,"Renaissance Seattle Hotel",47.607,-122.331,"67aeae73-9ed5-4a13-b356-a76a28f88e28",NA
"140","Exploring College Options - Seattle, WA (Bellevue)","2019-05-13T19:00:00",7200,"Embassy Suites by Hilton Seattle Bellevue",47.581,-122.134,"04911009-f80b-4419-b329-bef9a580cc6f",NA
"141","Exploring College Options - Milwaukee, WI","2019-05-15T19:00:00",7200,"Crowne Plaza Milwaukee Airport",42.928,-87.932,"eec39066-f213-4c43-9027-22fb35bf2725",NA
"142","Georgia Tech, Johns Hopkins, UChicago, and WashU STEM Information Session in Hartford, CT","2019-06-03T19:00:00",5400,"Kingswood-Oxford School",41.759,-72.736,"8125279a-931c-4265-aa94-ffea0b136d2e",NA
"143","Georgia Tech, Johns Hopkins, UChicago, and WashU STEM Information Session in Needham, MA","2019-06-05T19:00:00",5400,"Sheraton Boston Needham Hotel",42.303,-71.22,"69691098-e286-4018-ac20-3cb364646c4d",NA
"144","Georgia Tech, Johns Hopkins, UChicago, and WashU STEM Information Session in Nashua, NH","2019-06-06T19:00:00",5400,"DoubleTree by Hilton Nashua",42.787,-71.504,"d38d3c4a-cebc-4d37-992f-4cf1cc599110",NA
"145","Georgia Tech, Johns Hopkins, UChicago, and WashU STEM Information Session in Albany, NY","2019-06-02T19:00:00",5400,"The Albany Academies",42.646,-73.788,"5d1bc329-37be-41c1-8671-8d563ff4ce5a",NA
"146","Georgia Tech, Johns Hopkins, UChicago, and WashU STEM Information Session in Providence, RI","2019-06-04T19:00:00",5400,"Providence Marriott Downtown",41.836,-71.414,"4dd28e61-a410-4572-9f89-b46b0c6c13d9",NA
"147","UChicago Information Session in San Antonio","2019-05-23T18:00:00",5400,"Young Women's Leadership Academy",29.459,-98.534,"ab0b3d0c-558c-4ed5-ba9e-b4fbe31277b6",NA
"148","UChicago Information Session in San Antonio","2019-05-25T11:00:00",5400,"Central Library - Auditorium",29.432,-98.493,"50e294ee-6db6-4f90-8f7a-7c990d27d34f",NA
"149","UChicago Only Information Session","2019-06-17T18:30:00",5400,"Thomas Jefferson High School for Science and Technology ",38.818,-77.168,"0a67238b-a889-4caf-be9e-180466709164",NA
"150","Barnard, Johns Hopkins, Notre Dame, and UChicago Information Session in Rio de Janeiro","2019-05-13T18:00:00",3600,"Our Lady of Mercy School",-22.956,-43.194,"648bc926-17f0-429e-8e64-57d0457c4a1e",NA
"151","Barnard, Johns Hopkins, Notre Dame, and UChicago Information Session in Curitiba","2019-05-15T17:30:00",3600,"EducationUSA at FAE Centro Universitatio",-25.438,-49.273,"28b0e1f7-e1c5-4092-90a9-6160f310dd62",NA
"152","Barnard, Johns Hopkins, Notre Dame, and UChicago Information Session in Sao Paulo","2019-05-16T19:00:00",3600,"EducationUSA at Alumni Itaim",-23.586,-46.68,"b74fbcea-e521-4401-b556-2a9b2faae7d6",NA
"153","UChicago Information Session in Guangzhou","2019-05-13T19:00:00",5400,"Affiliated High School to South China Normal University",23.136,113.34,"3de6a433-3074-4f29-b450-0d620755e847",NA
"154","UChicago Information Session in Hong Kong","2019-05-20T19:00:00",3600,"Chinese International School",22.284,114.198,"f4b3c907-7812-45f4-83c2-3b05191d3502",NA
"155","UChicago Information Session in Manila","2019-05-15T19:00:00",3600,"Manila Marriott Hotel",14.521,121.019,"717ff5ef-9f94-4a07-96bf-55e4f0f4bec2",NA
"156","UChicago Admissions Case Study Workshop","2019-05-13T19:00:00",3600,"Seoul Foreign School",37.569,126.938,"d9cbd03d-1247-4f18-8a29-983371c94cfa",NA
"157","UChicago Information Session in Seoul","2019-05-14T19:00:00",3600,"Asia Pacific International School",37.63,127.049,"b4d8d9d5-4db3-4aff-8481-71c2bc4d6989",NA
"158","UChicago Information Session in Bangkok","2019-05-13T19:00:00",5400,"Courtyard by Marriott Bangkok",13.741,100.542,"796c90b2-7e5c-4f44-9d85-bb74d80e6740",NA
"159","Information Session on Applying to Highly Selective Colleges in the US","2019-05-23T19:00:00",NA,"Godolphin and Latymer School- The Hall",51.495,-0.229,"2c4ec78b-adf3-49c5-8bfd-7a5abd8b0bd5",NA
